module,sample,seqlen,ppn,mem,trial,AvgRSS,AvgSharedTxt,AvgStack,AvgTotal,AvgUnsharedData,CommandTimed,ExitStatus,FileSysIn,FileSysOut,InvolCtxtSwitch,MajorFaults,MaxRSS,MinorFaults,PageSize,PercentCPU,SignalsDeliv,SocketMsgRecv,SocketMsgSent,Swaps,SystemTime,UserTime,VolCtxtSwitch,WallTime
velvet,LS002,15M,5,64G,3,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,26936326,2925012,1081,3,8039132,967398,4096,100%,0,0,0,0,5.57,990.85,1554,16:35.97
velvet,LS002,15M,8,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,26936326,2925004,1183,3,8039132,967912,4096,100%,0,0,0,0,6.21,1073.79,1559,17:59.55
velvet,LS002,15M,8,64G,2,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,26936334,2925004,1176,3,8039224,968438,4096,100%,0,0,0,0,6.07,1076.09,1575,18:01.72
velvet,LS002,15M,8,64G,3,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,26936326,2925004,1116,3,8039136,967908,4096,100%,0,0,0,0,5.54,993.29,1549,16:38.40
velvet,LS002,20M,11,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,36107034,3919598,1618,3,10368080,1293461,4096,100%,0,0,0,0,8.18,1462.62,2050,24:30.22
velvet,LS002,20M,11,64G,2,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,36107034,3919598,1514,3,10368080,1294483,4096,100%,0,0,0,0,7.32,1357.81,2046,22:44.66
velvet,LS002,20M,11,64G,3,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,36107034,3919590,1483,3,10368084,1293966,4096,100%,0,0,0,0,7.15,1359.28,2040,22:45.94
velvet,LS002,20M,2,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,36107034,3919598,1484,3,10368076,1293979,4096,100%,0,0,0,0,7.59,1357.16,2056,22:44.37
velvet,LS002,20M,2,64G,2,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,36107802,3919590,1601,3,10368076,1292963,4096,100%,0,0,0,0,8.15,1458.10,2087,24:25.71
velvet,LS002,20M,2,64G,3,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,36107034,3919590,5405,3,10368076,1293490,4096,100%,0,0,0,0,8.33,1449.85,2079,24:18.11
velvet,LS002,20M,5,64G,1,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,36107802,3919590,1606,3,10368076,1292952,4096,100%,0,0,0,0,8.35,1464.25,2068,24:32.10
velvet,LS002,20M,5,64G,2,0,0,0,0,0,"./NGS-ann-program/BIN/velvetg ./outputDir/assembly -exp_cov auto -cov_cutoff auto -min_contig_lgth 100 -ins_length 202",0,36107034,3919598,1598,3,10368076,1293997,4096,100%,0,0,0,0,8.14,1466.54,2074,24:34.26
