module,sample,seqlen,ppn,mem,trial,split,AvgRSS,AvgSharedTxt,AvgStack,AvgTotal,AvgUnsharedData,CommandTimed,ExitStatus,FileSysIn,FileSysOut,InvolCtxtSwitch,MajorFaults,MaxRSS,MinorFaults,PageSize,PercentCPU,SignalsDeliv,SocketMsgRecv,SocketMsgSent,Swaps,SystemTime,UserTime,VolCtxtSwitch,WallTime
frhit,LS002,10M,11,64G,1,0,0,0,0,0,0,"./NGS-ann-program/BIN/fr-hit -T 0 -r 25 -m 60 -c 70 -p 8 -a ./data/read-split/split-1/split-0 -d ./NGS-ann-ref/ref_all_2013_0429.nr80 -o ./outputDir/split-0-out",0,33378257,27877,4012,13,51210924,12716620,4096,143%,0,0,0,0,36.67,1704.03,701580,20:15.98
frhit,LS002,10M,11,64G,2,0,0,0,0,0,0,"./NGS-ann-program/BIN/fr-hit -T 0 -r 25 -m 60 -c 70 -p 8 -a ./data/read-split/split-1/split-0 -d ./NGS-ann-ref/ref_all_2013_0429.nr80 -o ./outputDir/split-0-out",0,33378513,27877,3354,13,51214576,12713414,4096,143%,0,0,0,0,37.20,1686.43,701355,19:57.67
frhit,LS002,10M,2,64G,1,0,0,0,0,0,0,"./NGS-ann-program/BIN/fr-hit -T 0 -r 25 -m 60 -c 70 -p 8 -a ./data/read-split/split-1/split-0 -d ./NGS-ann-ref/ref_all_2013_0429.nr80 -o ./outputDir/split-0-out",0,33371600,27869,2290,13,49896136,12408775,4096,129%,0,0,0,0,31.75,1561.53,114030,20:34.54
frhit,LS002,10M,2,64G,2,0,0,0,0,0,0,"./NGS-ann-program/BIN/fr-hit -T 0 -r 25 -m 60 -c 70 -p 8 -a ./data/read-split/split-1/split-0 -d ./NGS-ann-ref/ref_all_2013_0429.nr80 -o ./outputDir/split-0-out",0,33371601,27868,2327,13,49899796,12408475,4096,129%,0,0,0,0,32.27,1545.96,114683,20:19.18
frhit,LS002,10M,5,64G,1,0,0,0,0,0,0,"./NGS-ann-program/BIN/fr-hit -T 0 -r 25 -m 60 -c 70 -p 8 -a ./data/read-split/split-1/split-0 -d ./NGS-ann-ref/ref_all_2013_0429.nr80 -o ./outputDir/split-0-out",0,33371600,27877,2736,13,50337408,12509732,4096,141%,0,0,0,0,32.29,1599.94,337930,19:11.16
frhit,LS002,10M,5,64G,2,0,0,0,0,0,0,"./NGS-ann-program/BIN/fr-hit -T 0 -r 25 -m 60 -c 70 -p 8 -a ./data/read-split/split-1/split-0 -d ./NGS-ann-ref/ref_all_2013_0429.nr80 -o ./outputDir/split-0-out",0,33371601,27877,2394,13,50335172,12508799,4096,142%,0,0,0,0,32.44,1583.90,337826,18:54.92
frhit,LS002,10M,8,64G,1,0,0,0,0,0,0,"./NGS-ann-program/BIN/fr-hit -T 0 -r 25 -m 60 -c 70 -p 8 -a ./data/read-split/split-1/split-0 -d ./NGS-ann-ref/ref_all_2013_0429.nr80 -o ./outputDir/split-0-out",0,33371601,27868,2371,13,50774396,12612053,4096,145%,0,0,0,0,32.49,1588.87,519687,18:32.52
frhit,LS002,10M,8,64G,2,0,0,0,0,0,0,"./NGS-ann-program/BIN/fr-hit -T 0 -r 25 -m 60 -c 70 -p 8 -a ./data/read-split/split-1/split-0 -d ./NGS-ann-ref/ref_all_2013_0429.nr80 -o ./outputDir/split-0-out",0,33381584,27876,2444,13,50766780,12624082,4096,142%,0,0,0,0,36.81,1684.57,519802,20:09.56
frhit,LS002,15M,11,64G,1,0,0,0,0,0,0,"./NGS-ann-program/BIN/fr-hit -T 0 -r 25 -m 60 -c 70 -p 8 -a ./data/read-split/split-1/split-0 -d ./NGS-ann-ref/ref_all_2013_0429.nr80 -o ./outputDir/split-0-out",0,33385757,41399,3818,13,51193616,12732589,4096,169%,0,0,0,0,37.48,1877.45,701494,18:48.58
frhit,LS002,15M,2,64G,1,0,0,0,0,0,0,"./NGS-ann-program/BIN/fr-hit -T 0 -r 25 -m 60 -c 70 -p 8 -a ./data/read-split/split-1/split-0 -d ./NGS-ann-ref/ref_all_2013_0429.nr80 -o ./outputDir/split-0-out",0,33373212,41391,2975,13,49903676,12408422,4096,140%,0,0,0,0,31.09,1815.51,114993,21:55.54
