ppn,mem,trial,AvgRSS,AvgSharedTxt,AvgStack,AvgTotal,AvgUnsharedData,CommandTimed,ExitStatus,FileSysIn,FileSysOut,InvolCtxtSwitch,ajorFaults,axRSS,inorFaults,PageSize,PercentCPU,SignalsDeliv,SocketsgRecv,SocketsgSent,Swaps,SystemTime,UserTime,VolCtxtSwitch,WallTime,SampleName
16,110G,1,0,0,0,0,0,"/oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/NGS-ann-program/bin/cd-hit-dup -i filter-human/no-human-1 -i2 filter-human/no-human-2 -o /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/dup/ppn16/mem110G/trial1/dup -u 50",0,12544,36702800,1393,7,104980096,23363170,4096,99%,0,0,0,0,107.49,1008.16,334,18:35.89,LS002
16,110G,2,0,0,0,0,0,"/oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/NGS-ann-program/bin/cd-hit-dup -i filter-human/no-human-1 -i2 filter-human/no-human-2 -o /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/dup/ppn16/mem110G/trial2/dup -u 50",0,12544,36702800,3294,7,104979956,23365787,4096,100%,0,0,0,0,109.04,1002.11,341,18:30.55,LS002
16,110G,2,0,0,0,0,0,"/oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/NGS-ann-program/bin/cd-hit-dup -i filter-human/no-human-1 -i2 filter-human/no-human-2 -o /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/dup/ppn16/mem110G/trial2/dup -u 50",0,14176,36702800,3505,8,104979652,23362886,4096,100%,0,0,0,0,106.45,1033.97,358,19:00.41,LS002
16,110G,3,0,0,0,0,0,"/oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/NGS-ann-program/bin/cd-hit-dup -i filter-human/no-human-1 -i2 filter-human/no-human-2 -o /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/dup/ppn16/mem110G/trial3/dup -u 50",0,12544,36702800,2845,7,104979996,23364236,4096,100%,0,0,0,0,106.72,1009.01,351,18:35.08,LS002
16,110G,3,0,0,0,0,0,"/oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/NGS-ann-program/bin/cd-hit-dup -i filter-human/no-human-1 -i2 filter-human/no-human-2 -o /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/dup/ppn16/mem110G/trial3/dup -u 50",0,14176,36702800,4138,8,104979620,23358344,4096,99%,0,0,0,0,241.68,1815.80,743,34:17.85,LS002
16,110G,4,0,0,0,0,0,"/oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/NGS-ann-program/bin/cd-hit-dup -i filter-human/no-human-1 -i2 filter-human/no-human-2 -o /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/dup/ppn16/mem110G/trial4/dup -u 50",0,14176,36702808,3288,8,104980220,23588384,4096,98%,0,0,0,0,502.58,1021.87,529,25:53.32,LS002
16,110G,5,0,0,0,0,0,"/oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/NGS-ann-program/bin/cd-hit-dup -i filter-human/no-human-1 -i2 filter-human/no-human-2 -o /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/dup/ppn16/mem110G/trial5/dup -u 50",0,12544,36702800,3287,7,104979288,23358989,4096,100%,0,0,0,0,238.57,1803.77,764,34:01.86,LS002
16,120G,1,0,0,0,0,0,"/oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/NGS-ann-program/bin/cd-hit-dup -i filter-human/no-human-1 -i2 filter-human/no-human-2 -o /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/dup/ppn16/mem120G/trial1/dup -u 50",0,14176,36702808,2917,8,104984184,23749533,4096,98%,0,0,0,0,324.44,948.91,376,21:27.79,LS002
16,120G,2,0,0,0,0,0,"/oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/NGS-ann-program/bin/cd-hit-dup -i filter-human/no-human-1 -i2 filter-human/no-human-2 -o /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/dup/ppn16/mem120G/trial2/dup -u 50",0,12544,36703144,3284,7,104982136,24909974,4096,97%,0,0,0,0,486.13,953.62,329,24:30.40,LS002
16,120G,3,0,0,0,0,0,"/oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/NGS-ann-program/bin/cd-hit-dup -i filter-human/no-human-1 -i2 filter-human/no-human-2 -o /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/dup/ppn16/mem120G/trial3/dup -u 50",0,12544,36702816,3835,7,104979736,23889827,4096,98%,0,0,0,0,333.62,1021.71,433,22:51.37,LS002
16,120G,4,0,0,0,0,0,"/oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/NGS-ann-program/bin/cd-hit-dup -i filter-human/no-human-1 -i2 filter-human/no-human-2 -o /oasis/scratch/comet/a3rao/temp_project/NGS-ann-project/LS002/dup/ppn16/mem120G/trial4/dup -u 50",0,14176,36702800,2248,8,104978732,25221178,4096,99%,0,0,0,0,229.57,1068.84,395,21:47.02,LS002
